platform ,game  ,date ,ts         ,rtt                ,bitrate            ,fps                ,jb_delay           ,max_decode_ms
stadia   ,acv   ,0908 ,1631132258 ,8.0                ,17439669.866666667 ,60.483333333333334 ,11.0               ,11.316666666666666
stadia   ,acv   ,0908 ,1631132259 ,8.0                ,14831664.933333334 ,60.81666666666667  ,11.0               ,13.0
stadia   ,acv   ,0908 ,1631132260 ,8.0                ,13593251.6         ,60.56666666666667  ,11.066666666666666 ,13.0
stadia   ,acv   ,0908 ,1631132261 ,8.0                ,14621320.533333333 ,60.05              ,11.05              ,13.0
stadia   ,acv   ,0908 ,1631132262 ,8.0                ,13955435.2         ,60.03333333333333  ,11.0               ,13.283333333333333
stadia   ,acv   ,0908 ,1631132263 ,8.0                ,14498581.466666667 ,60.68333333333333  ,11.083333333333334 ,14.0
stadia   ,acv   ,0908 ,1631132264 ,8.0                ,13232733.466666667 ,60.3               ,11.0               ,14.0
stadia   ,acv   ,0908 ,1631132265 ,8.0                ,13552201.44262295  ,60.49180327868852  ,11.0               ,14.01639344262295
stadia   ,acv   ,0908 ,1631132266 ,8.0                ,20989812.266666666 ,60.65              ,11.366666666666667 ,15.0
stadia   ,acv   ,0908 ,1631132267 ,8.0                ,20370090.933333334 ,60.78333333333333  ,11.15              ,15.0
stadia   ,acv   ,0908 ,1631132268 ,8.0                ,20312520.266666666 ,60.68333333333333  ,11.033333333333333 ,15.0
stadia   ,acv   ,0908 ,1631132269 ,8.0                ,20975175.066666666 ,60.45              ,11.283333333333333 ,15.0
stadia   ,acv   ,0908 ,1631132270 ,8.0                ,23242403.6         ,60.5               ,11.083333333333334 ,15.0
stadia   ,acv   ,0908 ,1631132271 ,8.5                ,26397729.333333332 ,60.56666666666667  ,11.166666666666666 ,15.816666666666666
stadia   ,acv   ,0908 ,1631132272 ,9.0                ,25440463.733333334 ,60.583333333333336 ,11.0               ,16.0
stadia   ,acv   ,0908 ,1631132273 ,9.0                ,23408131.866666667 ,60.666666666666664 ,11.083333333333334 ,16.0
stadia   ,acv   ,0908 ,1631132274 ,8.0                ,20856160.133333333 ,60.63333333333333  ,11.0               ,16.0
