platform,game,date,coef
stadia,acv,0908,0.1935839739966429
stadia,acv,0909,0.11532213052689602
stadia,acv,0911,0.46331222267806094
stadia,acv,0912,-0.5962629248661753
stadia,acv,0913,0.04472558355716924
stadia,acv,0914,0.14373298376903237
stadia,acv,0921,0.31066702441831545
stadia,acv,0923,nan
stadia,acv,0924,-0.40084187664470833
stadia,acv,0928,0.0612905595266924
stadia,acv,0929,-0.021606473895990234
stadia,acv,0930,nan
stadia,acv,1007,nan
stadia,acv,1010,-0.024608167113290957
stadia,acv,1025,0.00611380051465684
stadia,acv,1026,0.020994665639685318
stadia,acv,1027,-0.1308642481700109
stadia,acv,1028,0.0644187144939004
stadia,acv,1101,0.1740874962815832
stadia,acv,1102,nan
stadia,acv,1104,nan
stadia,acv,1105,-0.03295133239756237
stadia,acv,1108,-0.00836482529990139
stadia,acv,1109,-0.3821203032333224
stadia,acv,1110,-0.028171475716984366
stadia,crew2,0909,-0.2044813721850403
stadia,crew2,0911,-0.9521832795081957
stadia,crew2,0912,nan
stadia,crew2,0913,-0.2139488592477991
stadia,crew2,0914,-0.04682486069158018
stadia,crew2,0921,-0.3755645493619604
stadia,crew2,0923,nan
stadia,crew2,0924,0.9095199148371184
stadia,crew2,0928,0.0669672580244593
stadia,crew2,0929,0.027984461447943393
stadia,crew2,0930,-0.18378011981336528
stadia,crew2,1008,nan
stadia,crew2,1010,-0.04510065765973074
stadia,crew2,1025,0.3182564634163975
stadia,crew2,1026,-0.03226686610290175
stadia,crew2,1027,0.004126598264122281
stadia,crew2,1028,nan
stadia,crew2,1101,-0.14364354735218346
stadia,crew2,1102,nan
stadia,crew2,1104,-0.003243825482229411
stadia,crew2,1105,0.07670555226793487
stadia,crew2,1108,0.14949816631029436
stadia,crew2,1110,-0.00824675617341133
stadia,fc5,0908,-0.07431563974991619
stadia,fc5,0909,-0.35328280116475325
stadia,fc5,0911,-0.34073190164719536
stadia,fc5,0912,0.08986855818407825
stadia,fc5,0913,0.5937518913376691
stadia,fc5,0914,0.12796525094499928
stadia,fc5,0921,0.14069020578658287
stadia,fc5,0923,0.16657709848210098
stadia,fc5,0924,0.16642878091638563
stadia,fc5,0928,0.1255318101307074
stadia,fc5,0929,0.33271775241717655
stadia,fc5,1007,-0.29300657874889907
stadia,fc5,1008,0.05763155959157514
stadia,fc5,1010,0.10063407019553662
stadia,fc5,1025,0.416777925646576
stadia,fc5,1026,0.6950461977052385
stadia,fc5,1027,0.4813112130999652
stadia,fc5,1028,0.08672421865533197
stadia,fc5,1101,0.10689058997444773
stadia,fc5,1102,0.12531125727952505
stadia,fc5,1104,0.1816799589152246
stadia,fc5,1105,0.18187165794558843
stadia,fc5,1108,0.18226701279458954
stadia,fc5,1109,0.24177078480474185
stadia,fc5,1110,0.10754303867352517
