platform,game,date,coef
stadia,acv,0908,0.16969841662400223
stadia,acv,0909,0.0766995164122168
stadia,acv,0911,0.22429262646806464
stadia,acv,0912,0.018111041085404265
stadia,acv,0913,0.11423292823282864
stadia,acv,0914,-0.11144455536512858
stadia,acv,0921,0.03180732564582101
stadia,acv,0923,-0.1428632608179486
stadia,acv,0924,0.12414691788499803
stadia,acv,0928,-0.01935412252960179
stadia,acv,0929,0.01758596706068645
stadia,acv,0930,-0.006644609156974287
stadia,acv,1007,0.04595153696766257
stadia,acv,1010,0.012483491753696773
stadia,acv,1025,0.14567613413893685
stadia,acv,1026,0.00967074439137753
stadia,acv,1027,-0.012565458814514801
stadia,acv,1028,-0.04759162132977869
stadia,acv,1101,0.03285645746906443
stadia,acv,1102,0.11398330330745873
stadia,acv,1104,-0.0175238605608931
stadia,acv,1105,0.08806215268714553
stadia,acv,1108,0.01158680193096949
stadia,acv,1109,-0.21122369017561546
stadia,acv,1110,0.014297477250741215
stadia,crew2,0909,-0.035023589801794514
stadia,crew2,0911,0.0979980268136165
stadia,crew2,0912,0.096277667312282
stadia,crew2,0913,-0.14648448943875195
stadia,crew2,0914,-0.0035316043277850784
stadia,crew2,0921,-0.24901195247573868
stadia,crew2,0923,-0.09226660011084079
stadia,crew2,0924,0.03025610360744936
stadia,crew2,0928,0.0686015028996529
stadia,crew2,0929,-0.1802872868957136
stadia,crew2,0930,0.058905788629119826
stadia,crew2,1008,0.018234146513574447
stadia,crew2,1010,0.0043693806057651646
stadia,crew2,1025,0.13704904551694838
stadia,crew2,1026,-0.006618158700654543
stadia,crew2,1027,0.02798458511426104
stadia,crew2,1028,-0.17032929548793047
stadia,crew2,1101,0.0931242516175743
stadia,crew2,1102,-0.055272561317016175
stadia,crew2,1104,0.016843283356988734
stadia,crew2,1105,-0.09085001454633215
stadia,crew2,1108,-0.03885083806659804
stadia,crew2,1110,0.031772084505279755
stadia,fc5,0908,0.0587040177381849
stadia,fc5,0909,0.10147789916785532
stadia,fc5,0911,-0.06125407455724387
stadia,fc5,0912,0.11127756453259512
stadia,fc5,0913,0.0076953789551484795
stadia,fc5,0914,-0.10253127754606522
stadia,fc5,0921,0.09632052763261979
stadia,fc5,0923,0.08934223525618147
stadia,fc5,0924,-0.07253008383060114
stadia,fc5,0928,-0.057990110062955715
stadia,fc5,0929,0.03729676714570582
stadia,fc5,1007,-0.0023906994511878055
stadia,fc5,1008,-0.13647229229447183
stadia,fc5,1010,0.0024147837587836524
stadia,fc5,1025,0.03194470687291468
stadia,fc5,1026,0.21759889595709195
stadia,fc5,1027,-0.11572580499343403
stadia,fc5,1028,0.10686317446566877
stadia,fc5,1101,-0.014995741910313045
stadia,fc5,1102,0.06233105474848672
stadia,fc5,1104,0.03152905394854631
stadia,fc5,1105,0.012405683785846798
stadia,fc5,1108,-0.08218643079479307
stadia,fc5,1109,0.09460278101724345
stadia,fc5,1110,0.0047120862232496105
